,0
1255,Business Insider 
1256,Ackman 
1257,Ackman 
1258,Herbalife 
1259,Herbalife 
1260,Schneiderman 
1261,Tesla 
1262,Business Insider 
1263,Michigan 
1264,Herbalife 
1265,Herbalife 
1266,Goldman Sachs 
1267,Citi 
1268,Bitcoin 
1269,Ackman 
1270,Ackman 
1271,Thompson 
1272,Microsoft 
1273,Microsoft 
1274,Microsoft 
1275,Citi 
1276,Paulson 
1277,Goldman 
1278,Netflix 
1279,Apple 
1280,Apple 
1281,Twitter 
1282,Apple 
1283,Nasdaq 
1284,Apple 
1285,Apple 
1286,Apple 
1287,Apple 
1288,Apple 
1289,Apple 
1290,Apple 
1291,Apple 
1292,Apple 
1293,Apple 
1294,Apple 
1295,Lehman 
1296,Apple 
1297,Apple 
1298,Apple 
1299,Apple 
1300,Apple 
1301,Apple 
1302,Lehman 
1303,Twitter 
1304,Twitter 
1305,Michigan 
1306,Englander 
1307,Twitter 
1308,Facebook 
1309,Lehman 
1310,Goldman 
1311,Michael 
1312,Yellen 
1313,Berkeley 
1314,Louis 
1315,Twitter 
1316,Citi 
1317,Paulson 
1318,Paulson 
1319,Klarman 
1320,Tesla 
1321,Tesla 
1322,Facebook 
1323,Twitter 
1324,Twitter 
1325,Twitter 
1326,Twitter 
1327,Germany 
1328,Kinder 
1329,Microsoft 
1330,Apple 
1331,Apple 
1332,Apple 
1333,Apple 
1334,Apple 
1335,Apple 
1336,Bloomberg 
1337,Amazon 
1338,Amazon 
1339,Lee 
1340,Apple 
1341,Tesla 
1342,Fergusson 
1343,Zuckerberg 
1344,Zuckerberg 
1345,Microsoft 
1346,Isaacson 
1347,Apple 
1348,Apple 
1349,Apple 
1350,Apple 
1351,Apple 
1352,Apple 
1353,Morgan 
1354,Ackman 
1355,Ackman 
1356,Apple 
1357,Yahoo 
1358,Apple 
1359,Apple 
1360,Apple 
1361,Morgan 
1362,Apple 
1363,Ellison 
1364,Apple 
1365,Amazon 
1366,Apple 
1367,Apple 
1368,Apple 
1369,Apple 
1370,Apple 
1371,Emerson 
1372,Goldman Sachs 
1373,Pimco 
1374,Goldman 
1375,Pimco 
1376,Reuters 
1377,Goldman 
1378,Michigan 
1379,Apple 
1380,Morgan 
1381,Perelman 
1382,Tesla 
1383,Twitter 
1384,Microsoft 
1385,Goldman Sachs 
1386,Apple 
1387,Apple 
1388,Apple 
1389,Apple 
1390,Apple 
1391,Bitcoin 
1392,Citi 
1393,Thompson 
1394,Tesla 
1395,Ackman 
1396,Ackman 
1397,Ackman 
1398,Herbalife 
1399,Ackman 
1400,Goldman 
1401,Tesla 
1402,Apple 
1403,Cushman 
1404,Microsoft 
1405,Goldman Sachs 
1406,Goldman Sachs 
1407,Robertson 
1408,Goldman Sachs 
1409,Krugman 
1410,Krugman 
1411,Krugman 
1412,Goldman Sachs 
1413,Apple 
1414,Hogan 
1415,Morgan 
1416,Business Insider 
1417,Yellen 
1418,Berkeley 
1419,Apple 
1420,Michigan 
1421,Krugman 
1422,Ferguson 
1423,Ferguson 
1424,Michigan 
1425,Citi 
1426,Citi 
1427,Goldman 
1428,Citi 
1429,Yahoo 
1430,Bitcoin 
1431,Morgan 
1432,Apple 
1433,Apple 
1434,Apple 
1435,Apple 
1436,Apple 
1437,Walmart 
1438,Yahoo 
1439,Yahoo 
1440,Apple 
1441,Apple 
1442,Apple 
1443,Twitter 
1444,Twitter 
1445,Twitter 
1446,Twitter 
1447,Twitter 
1448,Apple 
1449,Google 
1450,Goldman 
1451,Tesla 
1452,Foster 
1453,Google 
1454,Google 
1455,Google 
1456,Goldman 
1457,Goldman 
1458,Goldman 
1459,Germany 
1460,Herbalife 
1461,Ackman 
1462,Apple 
1463,Apple 
1464,Apple 
1465,Apple 
1466,Apple 
1467,Apple 
1468,Apple 
1469,Apple 
1470,Apple 
1471,Apple 
1472,Business Insider 
1473,David 
1474,Goldman 
1475,Goldman 
1476,Business Insider 
1477,Germany 
1478,Tesla 
1479,Apple 
1480,Apple 
1481,Apple 
1482,Apple 
1483,Apple 
1484,Apple 
1485,Apple 
1486,Apple 
1487,Apple 
1488,Apple 
