,0
1649,1.5%
1650,2.6%
1651,8.24%
1652,5.9%
1653,4.5%
1654,20%
1655,98.22%
1656,28.75%
1657,20%
1658,28%
1659,0.5%
1660,2.1%
1661,35%
1662,1.6%
1663,2.46%
1664,2.60%
1665,2.6%
1666,-2%
1667,1.3%
1668,0.5%
1669,1.7%
1670,2.4%
1671,25%
1672,50%
1673,10%
1674,25%
1675,50%
1676,17.2%
1677,3.8%
1678,33.5%
1679,24.6%
1680,6.2%
1681,20.3%
1682,7.1%
1683,27.1%
1684,6.7%
1685,+2.3%
1686,+3.9%
1687,+5.0%
1688,+5.3%
1689,+1.3%
1690,+3.6%
1691,+4.8%
1692,+5.0%
1693,9.3%
1694,8.7%
1695,-8.9%
1696,51%
1697,8.5%
1698,10%
1699,8.5%
1700,8.9%
1701,9.0%
1702,60%
1703,40%
1704,26%
1705,55.1%
1706,4.5%
1707,25%
1708,11%
1709,25%
1710,50%
1711,10%
1712,25%
1713,50%
1714,42%
1715,24%
1716,31%
1717,19%
1718,10%
1719,13%
1720,2.5%
1721,34%
1722,37%
1723,33-36%
1724,28-29%
1725,28-32%
1726,13-14%
1727,129%
1728,1.77%
1729,1.67%
1730,37%
1731,10%
1732,20%
1733,0.8%
1734,0.5%
1735,0.2%
1736,4.5%
1737,70%
1738,1.3%
1739,10%
1740,15%
1741,20%
1742,10%
1743,30%
1744,50%
1745,7.2%
1746,33%
1747,17%
1748,20%
1749,42%
1750,8.5%
1751,1000%
1752,25%
1753,5.5%
1754,4.5%
1755,67%
1756,49%
1757,25%
1758,50%
1759,49%
1760,90%
1761,32%
1762,15%
1763,40%
1764,65-85%
1765,100%
1766,50%
1767,25%
1768,7.4%
1769,7.4%
1770,52%
1771,30%
1772,17%
1773,3.7%
1774,39%
1775,30%
1776,33%
1777,26%
1778,8.3%
1779,78%
1780,58%
1781,2.8%
1782,0.3%
1783,0.7%
1784,0.6%
1785,0.5%
1786,0.2%
1787,0.4%
1788,0.2%
1789,16%
1790,3.77%
1791,1.3%
1792,14.6%
1793,19.6%
1794,41.7%
1795,51.9%
1796,13%
1797,49%
1798,49%
1799,16%
1800,2.6%
1801,3.1%
1802,3.2%
1803,7-8%
1804,5-6%
1805,0.6%
1806,19.8%
1807,1.9%
1808,20%
1809,-30%
1810,20%
1811,-30%
1812,60%
1813,50%
1814,40%
1815,46.1%
1816,10%
1817,10%
1818,135%
1819,97%
1820,3.3%
1821,2.9%
1822,50%
1823,65%
1824,74.3%
1825,8.7%
1826,95%
1827,58%
1828,60%
1829,30%
1830,4.8%
1831,44%
1832,25%
1833,22%
1834,10%
1835,163.4%
1836,90%
1837,80%
1838,20%
1839,48%
1840,26.5%
1841,15.1%
1842,59%
1843,39.6%
1844,0.7%
1845,9.5%
1846,51.3%
1847,45.1%
1848,3.6%
1849,84%
1850,49.1%
1851,78.2%
1852,90%
1853,23%
1854,173%
1855,110%
1856,50%
1857,44%
1858,40%
1859,62.6%
1860,49.1%
1861,3.7%
1862,3.1%
1863,2.9%
1864,5-6%
1865,11%
1866,5.63%
1867,0.7%
1868,0.9%
1869,-0.1%
1870,1.3%
1871,0.5%
1872,19%
1873,10%
1874,1.5%
1875,17.4%
1876,8.6%
1877,39.6%
1878,6.4%
1879,24.7%
1880,29.7%
1881,29.5%
1882,23.0%
1883,33.9%
1884,11.1%
1885,2.9%
1886,80%
1887,-0.1%
1888,1.1%
1889,1.7%
1890,2.7%
1891,2.1%
1892,41%
1893,4.2%
1894,21.2%
1895,31.6%
1896,15.2%
1897,24.0%
1898,38.0%
1899,3.1%
1900,14.2%
1901,30.3%
1902,40%
1903,20%
1904,19%
1905,35%
1906,90%
1907,0.2%
1908,0.4%
1909,0.5%
1910,0.5%
1911,0.5%
1912,1.3%
1913,1.3%
1914,1.8%
1915,19%
1916,-0.2%
1917,-0.2%
1918,+0.2%
1919,1.5%
1920,1.60%
1921,0.6%
1922,0.3%
1923,0.7%
1924,100%
1925,11.9%
1926,5.8%
1927,4.1%
1928,565%
1929,45%
1930,51%
1931,33.8%
1932,34.1%
1933,18.8%
1934,19.9%
1935,9.2%
1936,50%
1937,3000%
1938,80%
1939,0.1%
1940,-0.1%
1941,0.6%
1942,0.2%
1943,2.1%
1944,2.7%
1945,2.7%
1946,6.9%
1947,3.7%
1948,2.1%
1949,9.6%
1950,0.4%
1951,0.5%
1952,23%
1953,10%
1954,22%
1955,58%
1956,60%
1957,38%
1958,71%
1959,54%
1960,11%
1961,30%
1962,30%
1963,32%
1964,27%
1965,12%
1966,25%
1967,29%
1968,60%
1969,38%
1970,18%
1971,20%
1972,75%
1973,20%
1974,30%
1975,0.5%
1976,0.5%
1977,0.2%
1978,0.4%
1979,0.2%
1980,15%
1981,+1.5%
1982,+4.5%
1983,+2.0%
1984,+2.5%
1985,4.46%
1986,1.47%
1987,3.4%
1988,2.75%
1989,20%
1990,10.5%
1991,4.5%
1992,30%
1993,30%
1994,19.6%
1995,10.9%
1996,42.4%
1997,70%
1998,70%
1999,30%
2000,37%
2001,70%
2002,76%
2003,40%
2004,70%
2005,16%
2006,30%
2007,70%
2008,41%
2009,7.9%
2010,100%
2011,3.7%
2012,2.5%
2013,0.9%
2014,1.7%
2015,2.2%
2016,2.3%
2017,52%
2018,43%
2019,50%
2020,10%
2021,19%
2022,18%
2023,30-50%
2024,18.4%
2025,2.3%
2026,17%
2027,1.7%
2028,200%
2029,200%
2030,140%
2031,40%
2032,99%
2033,0.1%
2034,2.4%
2035,5.1%
2036,6.7%
2037,2.1%
2038,7.2%
2039,-2.7%
2040,1.7%
2041,0.5%
2042,5.4%
2043,5.1%
2044,4.4%
2045,1.0%
2046,0.9%
2047,0.7%
2048,3.8%
2049,30%
2050,-40%
2051,70%
2052,50%
2053,37%
2054,5.0%
2055,5.7%
2056,3.7%
2057,8.3%
2058,13.1%
2059,28%
2060,9.7%
2061,17.5%
2062,7.8%
2063,99%
2064,99%
2065,+0.1%
2066,+0.2%
2067,+0.3%
2068,0.3%
2069,0.4%
2070,0.28%
2071,0.55%
2072,0.1%
2073,12%
2074,75%
2075,12%
2076,12%
2077,49%
2078,2.4%
2079,1.39%
2080,10-25%
2081,12.46%
2082,17%
2083,0.6%
2084,0.4%
2085,-1.1%
2086,0.9%
2087,6.2%
2088,4.1%
2089,0.4%
2090,0.27%
2091,97%
2092,25%
2093,-0.1%
2094,-0.1%
2095,1.9%
2096,1.1%
2097,12%
2098,11%
2099,0.1%
2100,0.1%
2101,0.4%
2102,0.0%
2103,4.5%
2104,100%
